,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
28,Data Scientist,Finan,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,21 days ago,18 days ago,"Proactive Mindset, Like To Learn New Things, Tốt Nghiệp Đại Học",https://glints.com/vn/opportunities/jobs/data-scientist/e1da7693-b009-4ff4-a781-3853b0cc44ea
29,Data Lead,Finan,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,21 days ago,21 days ago,"Tốt Nghiệp Đại Học, Data analytics, Business Intelligence",https://glints.com/vn/opportunities/jobs/data-lead/32a240e3-7fc2-4c23-9ba7-58d2594fa2fb
30,Data Analyst,Finan,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,21 days ago,21 days ago,"Postgres, Mathematical Skills, Data Analyst",https://glints.com/vn/opportunities/jobs/data-analyst/136fbbbe-b4ce-43c0-9119-7dc9279f8ed7
31,Data Management,CÔNG TY TNHH SALTMINE VIỆT NAM,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,1 month ago,16 days ago,"Analytical Skills, Project Management, Database Administration, Data Analysis, Logical Thinking",https://glints.com/vn/opportunities/jobs/data-management/7cebf7be-e369-430e-b5aa-b9f05d8877af
32,Data Engineer,Công Ty Tnhh Puzzle Studio,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Engineering,1 month ago,1 month ago,"SQL, Python, ETL",https://glints.com/vn/opportunities/jobs/data-engineer/e43a40b0-da11-49a8-9c10-7118b9d390d6
33,Data Engineer,Công Ty Tnhh Puzzle Studio,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Engineering,1 month ago,27 days ago,"SQL, Python, ETL",https://glints.com/vn/opportunities/jobs/data-engineer/598d50a1-d0b6-4833-be20-7e9966dc8ae0
34,Data Engineer,Fetch Technology,"Da Nang, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,25 days ago,10 days ago,"Computer Science, Software Engineering, Dremio",https://glints.com/vn/opportunities/jobs/data-engineer/ea7e6685-edde-48a6-a397-e38812c60506
35,Data Engineer,Fetch Technology,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,25 days ago,25 days ago,"Sql Programming, Nosql Databases, Dremio",https://glints.com/vn/opportunities/jobs/data-engineer/973d7895-dc62-4145-8bed-5fe8489d8301
36,Data Engineer,Fetch Technology,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,25 days ago,25 days ago,"Nosql Databases, Software Engineering, Powerbi",https://glints.com/vn/opportunities/jobs/data-engineer/871ce686-4e4f-4742-a566-6e2c960eb566
37,Data Engineer,Gimasys,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,2 months ago,1 month ago,"Big Data, Data Mart, Java, PostgreSQL, Warehouse Management, Python, Data Extraction, TOEIC, MongoDB, Bigquery",https://glints.com/vn/opportunities/jobs/data-engineer/a71f8600-3997-4d1c-8efe-9b692583205d
38,Data Analyst,Kingfoodmart (A member of Seedcom group),"Quận 7, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,3 months ago,yesterday,"Data Entry, Data Science, dataanalyst, Phân Tích Số Liệu, SQL, Database",https://glints.com/vn/opportunities/jobs/data-analyst/75165233-f083-4e8a-a537-d1e7b9f8e0bc
39,Data Analyst,Công ty cổ phần Giáo Dục và Công Nghệ Hùng Vương,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,yesterday,"QuickSight, Phân Tích Dữ Liệu, Phân Tích Kinh Doanh",https://glints.com/vn/opportunities/jobs/data-analyst/8a95a619-5160-46d2-9872-b2a488c36cb8
